mu_s,sigma_s,K_P4,D50_sert_mg,RMS_pct
0.51431,0.07472,0.51916,111.199,6.9811
0.46057,0.02624,0.14376,90.853,9.9704
0.58679,0.03783,0.34346,69.078,14.1707
0.58470,0.02943,0.29981,168.932,14.2408
0.58938,0.04810,0.33847,146.438,13.9103
0.37467,0.07607,0.48251,108.571,11.7371
0.46440,0.03913,0.27437,164.932,8.4546
0.42073,0.06318,0.41634,128.113,9.8934
0.55323,0.11766,0.50881,102.059,7.9166
0.45272,0.10889,0.24751,134.415,10.6595
0.60312,0.06776,0.40484,93.709,13.4289
0.52806,0.10278,0.32932,131.123,4.7749
0.56666,0.05162,0.36295,86.729,13.1472
0.42324,0.09068,0.50239,126.530,6.3768
0.58515,0.10806,0.38732,123.277,10.1327
0.58530,0.04320,0.47091,122.334,14.1008
0.39998,0.06027,0.33519,154.426,18.9329
0.40057,0.08120,0.41329,96.487,9.1052
0.46020,0.11892,0.40627,67.264,2.1241
0.40504,0.06174,0.16307,105.041,22.9417
0.48952,0.06865,0.40504,112.875,3.3442
0.39346,0.08560,0.43132,136.884,13.5676
0.48403,0.02018,0.13105,142.073,4.9388
0.37622,0.05141,0.49045,118.913,13.2707
0.39098,0.02061,0.45868,67.814,10.1272
0.46836,0.07964,0.20428,65.795,3.8053
0.43271,0.07224,0.28616,92.769,7.9529
0.49487,0.08535,0.38506,82.977,4.7858
0.57278,0.05334,0.40404,121.064,13.1054
0.47897,0.09467,0.27362,139.992,5.8034
0.44057,0.06200,0.28162,166.360,13.5879
0.54060,0.11109,0.51610,61.689,9.2304
0.46907,0.07135,0.14731,146.613,12.1888
0.58389,0.11564,0.36480,67.426,10.6928
0.55659,0.04451,0.43292,69.560,13.1472
0.46592,0.08357,0.49343,163.881,2.8691
0.40316,0.08886,0.15504,78.230,19.3899
0.44281,0.02957,0.35592,115.666,9.8367
0.47023,0.06515,0.26013,155.363,6.6753
0.49469,0.07912,0.48693,155.879,2.0278
0.51059,0.09376,0.22575,161.353,5.4229
0.54133,0.03710,0.23230,127.643,12.3971
0.40142,0.06825,0.34631,128.724,15.0684
0.44792,0.02194,0.38604,73.210,9.8444
0.59584,0.05270,0.13262,91.702,13.7716
0.47414,0.10419,0.50269,76.971,4.4820
0.51223,0.03283,0.18425,70.085,9.2412
0.41002,0.08433,0.44804,134.011,10.1800
0.57044,0.03616,0.30424,74.880,14.1008
0.57195,0.07532,0.33031,68.221,11.9583
0.37659,0.11501,0.25378,80.094,16.6930
0.41102,0.07782,0.14822,153.443,23.3979
0.55512,0.09845,0.15342,152.749,7.8363
0.50805,0.08588,0.51426,126.554,4.8957
0.57566,0.03518,0.18322,62.971,14.1707
0.59938,0.11174,0.51812,153.872,10.7346
0.40092,0.08709,0.19925,165.713,22.8893
0.38346,0.06243,0.40294,137.536,16.9833
0.38009,0.04876,0.38030,93.438,13.1487
0.38639,0.05297,0.36192,119.038,16.2264
0.52631,0.05791,0.23924,68.254,9.2827
0.47631,0.07333,0.28590,62.922,4.0319
0.39792,0.11307,0.45506,93.085,7.2011
0.37975,0.11213,0.26988,134.687,19.9245
0.39525,0.05918,0.28902,68.783,11.3063
0.37511,0.10009,0.49599,60.481,6.1018
0.46609,0.08258,0.51663,130.708,1.2992
0.50054,0.04789,0.19537,86.541,4.9944
0.54851,0.05697,0.19829,101.399,10.9537
0.45236,0.11392,0.20181,110.507,11.3891
0.60703,0.11617,0.51513,85.212,11.6103
0.39663,0.06666,0.30511,74.258,10.8436
0.44374,0.05916,0.23661,166.614,15.1383
0.37404,0.03409,0.19041,160.499,32.1241
0.55254,0.04337,0.47877,103.883,13.0151
0.54366,0.06289,0.28707,126.795,9.8346
0.52933,0.06634,0.31176,111.989,7.8842
0.46128,0.10992,0.31087,150.666,8.3742
0.46711,0.05471,0.17151,166.114,11.9917
0.39615,0.11421,0.17752,121.000,20.2212
0.45636,0.05251,0.24170,140.997,9.1433
0.46268,0.05558,0.27828,105.144,3.6617
0.45572,0.03897,0.45412,65.229,9.4467
0.54034,0.03162,0.37420,169.610,13.0384
0.44338,0.06472,0.44715,140.395,6.0067
0.45449,0.03738,0.17367,92.918,9.6142
0.51367,0.04946,0.40732,142.468,7.0274
0.47061,0.08777,0.16689,83.146,7.6058
0.59787,0.09395,0.46466,94.203,11.9843
0.55028,0.09544,0.34175,132.277,7.7248
0.52723,0.06892,0.16013,167.274,5.9719
0.53440,0.02040,0.46092,168.183,13.7547
0.44248,0.08959,0.17545,83.830,12.1915
0.39461,0.03008,0.16939,161.829,31.8294
0.41178,0.06253,0.31648,105.609,11.7695
0.53288,0.07119,0.19630,60.023,8.6672
0.40164,0.04928,0.43004,81.034,8.9733
0.58816,0.04401,0.19088,156.698,14.1201
0.54108,0.02747,0.29497,62.556,13.4821
0.52202,0.09127,0.29651,121.658,4.7774
0.41072,0.05097,0.40897,168.851,16.2867
0.44203,0.02498,0.26346,106.601,11.3835
0.43151,0.10329,0.29382,80.301,7.1117
0.38903,0.09593,0.15324,152.258,24.8063
0.53769,0.11277,0.42456,94.978,6.8603
0.60240,0.05740,0.50570,104.176,13.8237
0.51992,0.06458,0.24322,86.017,7.1196
0.44544,0.03621,0.34036,116.615,8.5674
0.49392,0.11960,0.33444,107.142,3.0318
0.46294,0.06788,0.32761,87.424,2.5659
0.49144,0.06985,0.20524,101.483,2.7742
0.57330,0.04598,0.50540,84.713,13.6191
0.58273,0.02126,0.45156,80.754,14.2408
0.59284,0.05053,0.49903,84.516,13.8927
0.38550,0.09698,0.24769,146.276,21.4429
0.46671,0.05969,0.42224,64.210,6.9823
0.51754,0.09623,0.27639,66.561,6.0577
0.47323,0.09969,0.32510,85.442,1.8044
0.57238,0.08852,0.21690,161.087,9.7443
0.45850,0.07215,0.29524,66.978,2.9840
0.60531,0.05409,0.49278,104.453,14.1008
0.41330,0.08786,0.34856,149.047,14.2284
0.59115,0.11996,0.31297,90.524,10.0602
0.37937,0.04443,0.48504,135.366,15.3208
0.52030,0.03571,0.30701,168.071,9.2904
0.51792,0.03037,0.20088,121.284,9.9450
0.48483,0.08334,0.25847,138.716,4.5343
0.46541,0.08467,0.18714,63.224,5.1225
0.56205,0.07545,0.40054,98.613,11.1821
0.40881,0.11702,0.36250,139.242,13.2348
0.37347,0.02290,0.20822,138.865,32.6619
0.52479,0.04563,0.47794,96.197,10.6715
0.55180,0.03249,0.32737,128.225,13.6862
0.60199,0.04777,0.27889,140.291,14.1707
0.40210,0.06162,0.27569,109.913,16.6609
0.57645,0.09313,0.17710,125.307,9.8659
0.60950,0.02463,0.39193,74.308,14.2408
0.46452,0.08723,0.46947,78.786,4.0219
0.60741,0.09226,0.23878,112.213,12.1349
0.46324,0.09186,0.47362,113.794,1.1832
0.49714,0.04734,0.25746,122.531,3.0146
0.42867,0.06231,0.21046,147.983,18.5282
0.53915,0.10082,0.31721,66.953,7.6827
0.39595,0.07370,0.36102,161.975,18.7862
0.54975,0.10169,0.32263,162.754,6.7688
0.37091,0.03659,0.47233,144.614,18.7044
0.48993,0.07070,0.24293,123.222,2.6653
0.42310,0.09136,0.21234,119.824,15.7127
0.54326,0.04365,0.50650,119.527,12.3201
0.52311,0.11222,0.32376,78.096,5.7515
0.56697,0.09579,0.13029,154.669,8.9219
0.39816,0.11940,0.37041,137.240,14.2366
0.56413,0.07172,0.37630,90.718,11.5412
0.56784,0.10165,0.35281,113.086,9.3787
0.59450,0.11646,0.22891,164.400,9.6664
0.53250,0.02875,0.43908,127.170,12.9494
0.48643,0.09875,0.46246,134.873,1.5362
0.41450,0.07515,0.49431,112.528,7.5821
0.37683,0.02642,0.43065,91.724,13.0889
0.45422,0.10214,0.32226,165.583,9.6515
0.52680,0.04393,0.50780,140.532,10.2082
0.54839,0.11657,0.13185,65.511,7.0982
0.53153,0.09740,0.38849,127.716,5.8576
0.59744,0.06554,0.15195,124.917,13.0169
0.39260,0.08937,0.23475,72.834,15.8581
0.57831,0.04062,0.21174,73.152,14.1008
0.49057,0.06567,0.49921,167.520,1.7251
0.57094,0.05202,0.31919,162.446,12.8172
0.45939,0.02586,0.24615,129.953,9.2633
0.40681,0.07434,0.26786,104.770,15.1187
0.57549,0.04511,0.29214,157.614,13.5818
0.56620,0.08673,0.25258,75.996,10.5614
0.51907,0.03111,0.39317,81.599,11.3017
0.49246,0.07643,0.45030,145.844,2.0040
0.48138,0.05233,0.22469,94.434,1.4394
0.51494,0.04995,0.15271,159.907,4.9816
0.42537,0.10416,0.39595,151.272,10.7268
0.46496,0.10376,0.38451,130.204,3.9233
0.40328,0.10102,0.48814,109.467,7.6785
0.41764,0.03991,0.20010,113.679,20.3613
0.39214,0.04971,0.23426,106.209,21.7324
0.39420,0.06912,0.26944,105.767,17.5305
0.56031,0.06449,0.30982,117.253,11.4357
0.56919,0.05609,0.22253,92.521,12.6374
0.47089,0.11336,0.42009,120.848,2.3048
0.37781,0.11573,0.40869,114.626,13.3919
0.39151,0.09826,0.37153,103.418,11.8683
0.60887,0.10668,0.23322,65.330,11.6999
0.47399,0.11718,0.34518,156.981,6.5397
0.46089,0.10284,0.40306,144.339,5.0896
0.50778,0.04182,0.15090,91.054,5.8371
0.40575,0.08326,0.32008,154.389,17.3484
0.55610,0.05049,0.23093,71.028,12.7075
0.51941,0.03725,0.20585,160.289,8.4190
0.59651,0.07111,0.47049,63.443,13.2173
0.54501,0.07151,0.14577,104.694,8.7279
0.58606,0.04677,0.47525,74.806,13.8927
0.56935,0.04135,0.17468,145.490,13.5818
0.55841,0.03397,0.15789,122.026,13.7026
0.44866,0.03432,0.38774,144.195,8.9969
0.51269,0.07811,0.14895,124.071,5.0327
0.45646,0.05643,0.42318,89.581,4.5290
0.42155,0.06052,0.37733,91.324,7.3212
0.47994,0.03455,0.51737,75.714,9.0319
0.54554,0.09209,0.34228,61.371,9.4513
0.45829,0.07399,0.16600,97.881,10.4919
0.41654,0.05248,0.30809,108.721,12.0310
0.46182,0.02843,0.28287,169.747,10.1453
0.53859,0.05440,0.35099,96.389,10.8646
0.58786,0.09526,0.49263,146.940,11.0895
0.44882,0.06600,0.30056,163.993,10.5220
0.53589,0.04620,0.35189,130.413,10.8882
0.59801,0.02266,0.38256,155.050,14.2408
0.59274,0.05178,0.19696,67.697,13.8235
0.49542,0.07553,0.49704,147.729,2.6138
0.40641,0.03492,0.32361,77.407,11.2164
0.50282,0.11012,0.26682,80.517,3.7619
0.37863,0.08201,0.22067,110.972,22.2860
0.49750,0.09408,0.32834,166.801,4.0812
0.53749,0.05452,0.30915,66.319,11.3465
0.60121,0.02780,0.41060,61.644,14.2408
0.56144,0.11597,0.33756,144.117,7.4043
0.42093,0.11079,0.50482,122.269,6.3315
0.56571,0.09342,0.46517,103.660,10.4303
0.60377,0.07246,0.45701,151.054,13.0996
0.55238,0.07725,0.17282,154.923,8.8241
0.59410,0.02698,0.22178,162.128,14.2408
0.37736,0.02755,0.33949,85.485,14.6997
0.43706,0.03214,0.35911,92.169,8.6750
0.56553,0.04856,0.50114,63.863,13.2472
0.43589,0.07666,0.49588,63.806,6.2699
0.44949,0.04583,0.34432,90.215,5.8522
0.45145,0.10194,0.36833,76.807,2.0080
0.50676,0.10000,0.39572,110.278,3.8084
0.50600,0.10601,0.24992,120.402,4.3377
0.56267,0.07704,0.30565,149.312,10.0955
0.37364,0.07359,0.48180,142.535,15.6323
0.52868,0.09018,0.49784,118.118,6.9748
0.60769,0.02832,0.13802,124.710,14.2408
0.38169,0.09270,0.26481,149.493,21.8645
0.38156,0.11679,0.36893,133.142,15.9710
0.37062,0.06729,0.33384,101.905,17.6102
0.59325,0.03029,0.24642,75.872,14.2408
0.56067,0.02992,0.15963,131.453,14.1707
0.54420,0.06681,0.46582,77.130,11.2271
0.38463,0.07753,0.19613,62.572,19.1364
0.39289,0.09284,0.26141,111.674,17.6968
0.60059,0.10881,0.21592,101.143,10.7402
0.51669,0.05768,0.41528,117.830,7.4005
0.48371,0.04016,0.23621,132.084,1.0431
0.56477,0.08375,0.13763,99.112,9.6602
0.54755,0.07334,0.33677,112.766,9.6062
0.54947,0.10124,0.36028,89.252,8.2380
0.38994,0.05948,0.13585,164.783,29.5416
0.48205,0.06875,0.16775,119.751,6.5207
0.46235,0.06335,0.34258,77.909,3.6266
0.60346,0.11242,0.46188,140.815,10.8793
0.58964,0.09262,0.19454,97.754,11.0178
0.50918,0.10856,0.13693,115.430,7.5520
0.45116,0.09551,0.33231,97.056,4.0694
0.44675,0.02428,0.16161,118.385,17.0400
0.48828,0.02716,0.51391,116.787,7.6582
0.39385,0.02380,0.38138,150.268,20.1725
0.41944,0.07094,0.39680,161.425,13.2466
0.38225,0.04207,0.43162,157.438,19.9323
0.59164,0.04487,0.32691,83.938,14.1707
0.56812,0.11400,0.28115,117.183,8.4740
0.38418,0.08048,0.41421,81.357,9.0589
0.53611,0.10636,0.15819,151.921,6.3467
0.44810,0.04103,0.14959,90.427,13.6232
0.54898,0.02413,0.18729,154.114,14.1707
0.47463,0.06814,0.37873,130.271,1.0954
0.39072,0.05432,0.50317,64.627,7.8430
0.49912,0.08762,0.42902,149.153,2.5954
0.57296,0.10445,0.35341,142.859,9.1389
0.50011,0.03383,0.39780,103.133,8.0170
0.52962,0.03287,0.25514,143.878,11.5166
0.49183,0.04261,0.43256,78.988,8.0727
0.42016,0.09435,0.17030,131.302,18.3754
0.60585,0.11614,0.50937,76.631,11.6069
0.43313,0.03921,0.42283,126.931,9.3753
0.60119,0.03699,0.40794,121.585,14.2408
0.49589,0.05567,0.31836,114.047,3.6813
0.56177,0.09508,0.51247,93.848,10.2684
0.50687,0.11148,0.14337,94.524,6.8088
0.60405,0.08194,0.45593,168.521,12.5943
0.47193,0.11982,0.16853,106.147,10.5796
0.42571,0.06499,0.25554,100.363,11.7925
0.44116,0.07300,0.15726,136.477,16.6772
0.43951,0.05674,0.43717,107.337,6.0808
0.58900,0.05192,0.16316,117.539,13.6508
0.37127,0.04316,0.21094,139.038,30.4217
0.49933,0.10572,0.17338,62.123,4.7707
0.55745,0.03075,0.15635,71.307,13.9617
0.51828,0.11796,0.27406,100.123,4.1579
0.41365,0.02557,0.25471,155.573,23.8941
0.46966,0.04896,0.48935,116.098,4.3736
0.52278,0.02104,0.31656,104.358,12.8841
0.43810,0.10515,0.48582,71.595,3.3882
0.39706,0.11066,0.35646,81.635,9.1917
0.38390,0.11914,0.28462,95.648,15.6971
